customer_id,company_name,industry,segment,country,signup_date,acquisition_channel,account_manager
CUST0001,"Olson, Mcclure and Cummings",FinTech,Mid-Market,USA,2023-07-01,Paid Search,Sean Dorsey
CUST0002,"David, Dunn and Lewis",EdTech,SMB,Ireland,2024-11-18,Outbound,Tracy Brown
CUST0003,Hampton and Sons,SaaS,SMB,Ireland,2024-11-28,Organic,Michael Hall
CUST0004,"Carroll, Brown and Lucas",Logistics,SMB,USA,2024-05-12,Outbound,Brandon Wells
CUST0005,"Adams, Arnold and Mooney",EdTech,SMB,USA,2023-09-29,Partner,Allison Flynn
CUST0006,Welch-Warner,Logistics,SMB,UK,2023-08-30,Organic,Ashley Good
CUST0007,"Sosa, Mitchell and Garcia",HealthTech,Mid-Market,USA,2024-08-11,Referral,Brian Jennings
CUST0008,"Lewis, Jones and Heath",HealthTech,SMB,France,2024-04-11,Referral,Kelly Khan
CUST0009,"Garcia, Wagner and Herring",SaaS,SMB,Ireland,2023-04-29,Referral,James Lee
CUST0010,Walker Group,FinTech,Mid-Market,USA,2024-03-29,Outbound,Nicole Davis
CUST0011,Wade Group,SaaS,SMB,Ireland,2023-06-17,Referral,Jessica Cardenas
CUST0012,"Thompson, Smith and Wilson",Logistics,Mid-Market,Germany,2024-08-18,Referral,Michael Kelly
CUST0013,"Keller, Cobb and Moore",EdTech,Mid-Market,Ireland,2023-08-05,Paid Search,Maria Stephens
CUST0014,"Myers, Hartman and Smith",FinTech,Mid-Market,Germany,2023-10-17,Organic,Bryan Peterson
CUST0015,Moon-Walker,SaaS,SMB,USA,2023-04-16,Referral,Cynthia Erickson PhD
CUST0016,Morris-Gray,E-Commerce,SMB,UK,2023-06-05,Referral,Robert Martinez
CUST0017,Garcia Inc,EdTech,Mid-Market,USA,2023-07-01,Outbound,Benjamin Shelton
CUST0018,Erickson Ltd,Logistics,Mid-Market,USA,2023-12-16,Paid Search,Jennifer Cook
CUST0019,Weaver Inc,E-Commerce,SMB,France,2023-07-26,Outbound,Mr. Charles Mccormick
CUST0020,Thomas Group,E-Commerce,SMB,Germany,2024-03-29,Organic,Andrew Carpenter
CUST0021,Carroll Ltd,FinTech,SMB,Germany,2024-09-23,Partner,Paula Huerta
CUST0022,Davis-Collins,HealthTech,SMB,France,2023-06-07,Outbound,Maria Long
CUST0023,"Flynn, Lane and Nelson",E-Commerce,Enterprise,UK,2024-05-11,Partner,Karen Moore
CUST0024,Bishop and Sons,EdTech,SMB,USA,2024-11-17,Referral,Eric Kline
CUST0025,"Young, Ramirez and Thornton",EdTech,SMB,USA,2024-03-31,Referral,Joy Payne
CUST0026,Hatfield-Brewer,SaaS,Mid-Market,Germany,2024-09-08,Partner,Daniel Phillips
